GA SEX MEANWEIGHT SD
20 1 370 90
21 1 445 95
22 1 530 100
23 1 625 110
24 1 725 125
25 1 835 140
26 1 950 160
27 1 1085 180
28 1 1230 210
29 1 1400 240
30 1 1590 270
31 1 1810 305
32 1 2050 340
33 1 2290 375
34 1 2540 405
35 1 2785 445
36 1 3020 475
37 1 3235 475
38 1 3430 455
39 1 3595 450
40 1 3725 460
41 1 3810 470
42 1 3850 480
43 1 3840 490
44 1 3785 480
20 2 320 60
21 2 405 70
22 2 495 85
23 2 580 100
24 2 670 120
25 2 765 140
26 2 865 165
27 2 985 195
28 2 1140 225
29 2 1325 255
30 2 1530 290
31 2 1750 325
32 2 1980 355
33 2 2215 380
34 2 2455 400
35 2 2690 425
36 2 2915 455
37 2 3120 460
38 2 3305 450
39 2 3455 440
40 2 3575 440
41 2 3655 450
42 2 3690 465
43 2 3675 475
44 2 3620 475
